SITE_NAME,BEGIN,END,PERIOD_EUR,DAYS_INVOICE,KWH_NEW,DAYLY_AVERAGE_CONSUMPTION,INVOICES
0001BB,2018-01-01,2018-01-31,"316,46",31,2447.0,78.94,35
0001BB,2018-01-02,2018-02-28,"286,82",58,2211.0,38.12,35
0001BB,2018-01-03,2018-03-31,"317,32",88,2450.0,27.84,35
0001BB,2018-01-04,2018-04-30,"315,00",117,2431.0,20.78,35
0001BB,2018-01-05,2018-05-31,"333,37",147,2574.0,17.51,35
0001BB,2018-01-06,2018-06-30,"365,27",176,2830.0,16.08,35
0001BB,2018-01-07,2018-07-31,"390,39",206,3028.0,14.7,35
0001BB,2018-01-08,2018-08-31,"393,99",236,3053.0,12.94,35
0001BB,2018-01-09,2018-09-30,"378,35",265,2915.0,11.0,35
0001BB,2018-01-10,2018-10-31,"387,05",295,2986.0,10.12,35
0001BB,2018-01-11,2018-11-30,"372,47",324,2871.0,8.86,35
0001BB,2018-01-12,2018-12-31,"399,30",354,3086.0,8.72,35
0001BB,2019-01-01,2019-01-31,"381,40",31,3094.0,99.81,35
0001BB,2019-01-02,2019-02-28,"345,87",58,2767.0,47.71,35
0001BB,2019-01-03,2019-03-31,"378,18",88,3059.0,34.76,35
0001BB,2019-01-04,2019-04-30,"340,84",117,2761.0,23.6,35
0001BB,2019-01-05,2019-05-31,"349,26",147,2844.0,19.35,35
0001BB,2019-01-06,2019-06-30,"369,19",176,3009.0,17.1,35
0001BB,2019-01-07,2019-07-31,"371,20",206,3016.0,14.64,35
0001BB,2019-01-08,2019-08-31,"380,42",236,3089.0,13.09,35
0001BB,2019-01-09,2019-09-30,"361,36",265,2914.0,11.0,35
0001BB,2019-01-10,2019-10-31,"366,70",295,2963.0,10.04,35
0001BB,2019-01-11,2019-11-30,"345,89",324,2797.0,8.63,35
0001BB,2019-01-12,2019-12-31,"353,08",354,2859.0,8.08,35
0001BB,2020-01-01,2020-01-31,"414,93",31,2863.0,92.35,35
0001BB,2020-01-02,2020-02-29,"387,22",59,2663.0,45.14,35
0001BB,2020-01-03,2020-03-31,"403,25",89,2759.0,31.0,35
0001BB,2020-01-04,2020-04-30,"390,79",118,2680.0,22.71,35
0001BB,2020-01-05,2020-05-31,"407,48",148,2797.0,18.9,35
0001BB,2020-01-06,2020-06-30,"407,77",177,2796.0,15.8,35
0001BB,2020-01-07,2020-07-31,"429,09",207,2952.0,14.26,35
0001BB,2020-01-08,2020-08-31,"435,98",237,3014.0,12.72,35
0001BB,2020-01-09,2020-09-30,"411,97",266,2857.0,10.74,35
